Type,Red,Yellow,White,Brightness,Color,SeedBag,ID,Source
Rose,0,0,0,0,White,0,60261,0
Rose,0,0,0,1,White,0,60261,0
Rose,0,0,0,2,White,0,60261,0
Rose,0,0,1,0,White,1,60261,1
Rose,0,0,1,1,White,0,60261,0
Rose,0,0,1,2,White,0,60261,0
Rose,0,0,2,0,Purple,0,60276,0
Rose,0,0,2,1,Purple,0,60276,0
Rose,0,0,2,2,Purple,0,60276,0
Rose,0,1,0,0,Yellow,0,60267,0
Rose,0,1,0,1,Yellow,0,60267,0
Rose,0,1,0,2,Yellow,0,60267,0
Rose,0,1,1,0,White,0,60261,0
Rose,0,1,1,1,White,0,60261,0
Rose,0,1,1,2,White,0,60261,0
Rose,0,1,2,0,Purple,0,60276,0
Rose,0,1,2,1,Purple,0,60276,0
Rose,0,1,2,2,Purple,0,60276,0
Rose,0,2,0,0,Yellow,1,60267,1
Rose,0,2,0,1,Yellow,0,60267,0
Rose,0,2,0,2,Yellow,0,60267,0
Rose,0,2,1,0,Yellow,0,60267,0
Rose,0,2,1,1,Yellow,0,60267,0
Rose,0,2,1,2,Yellow,0,60267,0
Rose,0,2,2,0,White,0,60261,0
Rose,0,2,2,1,White,0,60261,0
Rose,0,2,2,2,White,0,60261,0
Rose,1,0,0,0,Red,0,60264,0
Rose,1,0,0,1,Pink,0,60270,0
Rose,1,0,0,2,White,0,60261,0
Rose,1,0,1,0,Red,0,60264,0
Rose,1,0,1,1,Pink,0,60270,0
Rose,1,0,1,2,White,0,60261,0
Rose,1,0,2,0,Red,0,60264,0
Rose,1,0,2,1,Pink,0,60270,0
Rose,1,0,2,2,Purple,0,60276,0
Rose,1,1,0,0,Orange,0,60273,0
Rose,1,1,0,1,Yellow,0,60267,0
Rose,1,1,0,2,Yellow,0,60267,0
Rose,1,1,1,0,Red,0,60264,0
Rose,1,1,1,1,Pink,0,60270,0
Rose,1,1,1,2,White,0,60261,0
Rose,1,1,2,0,Red,0,60264,0
Rose,1,1,2,1,Pink,0,60270,0
Rose,1,1,2,2,Purple,0,60276,0
Rose,1,2,0,0,Orange,0,60273,0
Rose,1,2,0,1,Yellow,0,60267,0
Rose,1,2,0,2,Yellow,0,60267,0
Rose,1,2,1,0,Orange,0,60273,0
Rose,1,2,1,1,Yellow,0,60267,0
Rose,1,2,1,2,Yellow,0,60267,0
Rose,1,2,2,0,Red,0,60264,0
Rose,1,2,2,1,Pink,0,60270,0
Rose,1,2,2,2,White,0,60261,0
Rose,2,0,0,0,Black,0,60279,0
Rose,2,0,0,1,Red,1,60264,1
Rose,2,0,0,2,Pink,0,60270,0
Rose,2,0,1,0,Black,0,60279,0
Rose,2,0,1,1,Red,0,60264,0
Rose,2,0,1,2,Pink,0,60270,0
Rose,2,0,2,0,Black,0,60279,0
Rose,2,0,2,1,Red,0,60264,0
Rose,2,0,2,2,Pink,0,60270,2
Rose,2,1,0,0,Orange,0,60273,0
Rose,2,1,0,1,Orange,0,60273,0
Rose,2,1,0,2,Yellow,0,60267,0
Rose,2,1,1,0,Red,0,60264,0
Rose,2,1,1,1,Red,0,60264,0
Rose,2,1,1,2,White,0,60261,0
Rose,2,1,2,0,Black,0,60279,0
Rose,2,1,2,1,Red,0,60264,0
Rose,2,1,2,2,Purple,0,60276,0
Rose,2,2,0,0,Orange,0,60273,0
Rose,2,2,0,1,Orange,0,60273,0
Rose,2,2,0,2,Yellow,0,60267,0
Rose,2,2,1,0,Orange,0,60273,0
Rose,2,2,1,1,Orange,0,60273,2
Rose,2,2,1,2,Yellow,0,60267,0
Rose,2,2,2,0,Blue,0,60282,0
Rose,2,2,2,1,Red,0,60264,0
Rose,2,2,2,2,White,0,60261,0
Tulip,0,0,0,0,White,0,60222,0
Tulip,0,0,1,0,White,1,60222,1
Tulip,0,0,2,0,White,0,60222,0
Tulip,0,1,0,0,Yellow,0,60228,0
Tulip,0,1,1,0,Yellow,0,60228,0
Tulip,0,1,2,0,White,0,60222,0
Tulip,0,2,0,0,Yellow,1,60228,1
Tulip,0,2,1,0,Yellow,0,60228,0
Tulip,0,2,2,0,Yellow,0,60228,0
Tulip,1,0,0,0,Red,0,60225,0
Tulip,1,0,1,0,Pink,0,60231,2
Tulip,1,0,2,0,White,0,60222,0
Tulip,1,1,0,0,Orange,0,60234,0
Tulip,1,1,1,0,Yellow,0,60228,0
Tulip,1,1,2,0,Yellow,0,60228,0
Tulip,1,2,0,0,Orange,0,60234,2
Tulip,1,2,1,0,Yellow,0,60228,0
Tulip,1,2,2,0,Yellow,0,60228,0
Tulip,2,0,0,0,Black,0,60240,0
Tulip,2,0,1,0,Red,1,60225,1
Tulip,2,0,2,0,Red,0,60225,0
Tulip,2,1,0,0,Black,0,60240,2
Tulip,2,1,1,0,Red,0,60225,0
Tulip,2,1,2,0,Red,0,60225,0
Tulip,2,2,0,0,Purple,0,60237,0
Tulip,2,2,1,0,Purple,0,60237,0
Tulip,2,2,2,0,Purple,0,60237,0
Pansy,0,0,0,0,White,0,60243,0
Pansy,0,0,1,0,White,1,60243,1
Pansy,0,0,2,0,Blue,0,60258,0
Pansy,0,1,0,0,Yellow,0,60249,0
Pansy,0,1,1,0,Yellow,0,60249,0
Pansy,0,1,2,0,Blue,0,60258,0
Pansy,0,2,0,0,Yellow,1,60249,1
Pansy,0,2,1,0,Yellow,0,60249,0
Pansy,0,2,2,0,Yellow,0,60249,0
Pansy,1,0,0,0,Red,0,60246,0
Pansy,1,0,1,0,Red,0,60246,0
Pansy,1,0,2,0,Blue,0,60258,2
Pansy,1,1,0,0,Orange,0,60252,0
Pansy,1,1,1,0,Orange,0,60252,0
Pansy,1,1,2,0,Orange,0,60252,0
Pansy,1,2,0,0,Yellow,0,60249,0
Pansy,1,2,1,0,Yellow,0,60249,0
Pansy,1,2,2,0,Yellow,0,60249,0
Pansy,2,0,0,0,Red,1,60246,1
Pansy,2,0,1,0,Red,0,60246,0
Pansy,2,0,2,0,Purple,0,60255,0
Pansy,2,1,0,0,Red,0,60246,0
Pansy,2,1,1,0,Red,0,60246,0
Pansy,2,1,2,0,Purple,0,60255,0
Pansy,2,2,0,0,Orange,0,60252,0
Pansy,2,2,1,0,Orange,0,60252,2
Pansy,2,2,2,0,Purple,0,60255,0
Cosmos,0,0,0,0,White,0,60019,0
Cosmos,0,0,1,0,White,1,60019,1
Cosmos,0,0,2,0,White,0,60019,0
Cosmos,0,1,0,0,Yellow,0,60042,0
Cosmos,0,1,1,0,Yellow,0,60042,0
Cosmos,0,1,2,0,White,0,60019,0
Cosmos,0,2,0,0,Yellow,0,60042,0
Cosmos,0,2,1,0,Yellow,1,60042,1
Cosmos,0,2,2,0,Yellow,0,60042,0
Cosmos,1,0,0,0,Pink,0,60159,0
Cosmos,1,0,1,0,Pink,0,60159,0
Cosmos,1,0,2,0,Pink,0,60159,0
Cosmos,1,1,0,0,Orange,0,60157,0
Cosmos,1,1,1,0,Orange,0,60157,0
Cosmos,1,1,2,0,Pink,0,60159,2
Cosmos,1,2,0,0,Orange,0,60157,0
Cosmos,1,2,1,0,Orange,0,60157,0
Cosmos,1,2,2,0,Orange,0,60157,0
Cosmos,2,0,0,0,Red,1,60016,1
Cosmos,2,0,1,0,Red,0,60016,0
Cosmos,2,0,2,0,Red,0,60016,0
Cosmos,2,1,0,0,Orange,0,60157,0
Cosmos,2,1,1,0,Orange,0,60157,2
Cosmos,2,1,2,0,Red,0,60016,0
Cosmos,2,2,0,0,Black,0,60151,0
Cosmos,2,2,1,0,Black,0,60151,0
Cosmos,2,2,2,0,Red,0,60016,0
Lily,0,0,0,0,White,0,60297,0
Lily,0,0,1,0,White,0,60297,0
Lily,0,0,2,0,White,1,60297,1
Lily,0,1,0,0,Yellow,0,60303,0
Lily,0,1,1,0,White,0,60297,0
Lily,0,1,2,0,White,0,60297,0
Lily,0,2,0,0,Yellow,1,60303,1
Lily,0,2,1,0,Yellow,0,60303,0
Lily,0,2,2,0,White,0,60297,0
Lily,1,0,0,0,Red,0,60300,0
Lily,1,0,1,0,Pink,0,60306,0
Lily,1,0,2,0,White,0,60297,0
Lily,1,1,0,0,Orange,0,60309,0
Lily,1,1,1,0,Yellow,0,60303,0
Lily,1,1,2,0,Yellow,0,60303,0
Lily,1,2,0,0,Orange,0,60309,0
Lily,1,2,1,0,Yellow,0,60303,0
Lily,1,2,2,0,Yellow,0,60303,0
Lily,2,0,0,0,Black,0,60312,0
Lily,2,0,1,0,Red,1,60300,1
Lily,2,0,2,0,Pink,0,60306,0
Lily,2,1,0,0,Black,0,60312,2
Lily,2,1,1,0,Red,0,60300,0
Lily,2,1,2,0,Pink,0,60306,2
Lily,2,2,0,0,Orange,0,60309,0
Lily,2,2,1,0,Orange,0,60309,2
Lily,2,2,2,0,White,0,60297,0
Hyacinth,0,0,0,0,White,0,60389,0
Hyacinth,0,0,1,0,White,1,60389,1
Hyacinth,0,0,2,0,Blue,0,60404,0
Hyacinth,0,1,0,0,Yellow,0,60391,0
Hyacinth,0,1,1,0,Yellow,0,60391,0
Hyacinth,0,1,2,0,White,0,60389,0
Hyacinth,0,2,0,0,Yellow,1,60391,1
Hyacinth,0,2,1,0,Yellow,0,60391,0
Hyacinth,0,2,2,0,Yellow,0,60391,0
Hyacinth,1,0,0,0,Red,0,60386,0
Hyacinth,1,0,1,0,Pink,0,60401,2
Hyacinth,1,0,2,0,White,0,60389,0
Hyacinth,1,1,0,0,Orange,0,60400,0
Hyacinth,1,1,1,0,Yellow,0,60391,0
Hyacinth,1,1,2,0,Yellow,0,60391,0
Hyacinth,1,2,0,0,Orange,0,60400,2
Hyacinth,1,2,1,0,Yellow,0,60391,0
Hyacinth,1,2,2,0,Yellow,0,60391,0
Hyacinth,2,0,0,0,Red,0,60386,0
Hyacinth,2,0,1,0,Red,1,60386,1
Hyacinth,2,0,2,0,Red,0,60386,0
Hyacinth,2,1,0,0,Blue,0,60404,2
Hyacinth,2,1,1,0,Red,0,60386,0
Hyacinth,2,1,2,0,Red,0,60386,0
Hyacinth,2,2,0,0,Purple,0,60398,0
Hyacinth,2,2,1,0,Purple,0,60398,0
Hyacinth,2,2,2,0,Purple,0,60398,0
Windflower,0,0,0,0,White,0,60434,0
Windflower,0,0,1,0,White,1,60434,1
Windflower,0,0,2,0,Blue,0,60440,0
Windflower,0,1,0,0,Orange,0,60446,0
Windflower,0,1,1,0,Orange,0,60446,0
Windflower,0,1,2,0,Blue,0,60440,0
Windflower,0,2,0,0,Orange,1,60446,1
Windflower,0,2,1,0,Orange,0,60446,0
Windflower,0,2,2,0,Orange,0,60446,0
Windflower,1,0,0,0,Red,0,60384,0
Windflower,1,0,1,0,Red,0,60384,0
Windflower,1,0,2,0,Blue,0,60440,2
Windflower,1,1,0,0,Pink,0,60444,0
Windflower,1,1,1,0,Pink,0,60444,0
Windflower,1,1,2,0,Pink,0,60444,0
Windflower,1,2,0,0,Orange,0,60446,0
Windflower,1,2,1,0,Orange,0,60446,0
Windflower,1,2,2,0,Orange,0,60446,0
Windflower,2,0,0,0,Red,1,60384,1
Windflower,2,0,1,0,Red,0,60384,0
Windflower,2,0,2,0,Purple,0,60442,0
Windflower,2,1,0,0,Red,0,60384,0
Windflower,2,1,1,0,Red,0,60384,0
Windflower,2,1,2,0,Purple,0,60442,0
Windflower,2,2,0,0,Pink,0,60444,0
Windflower,2,2,1,0,Pink,0,60444,2
Windflower,2,2,2,0,Purple,0,60442,0
Mum,0,0,0,0,White,0,60424,0
Mum,0,0,1,0,White,1,60424,1
Mum,0,0,2,0,Purple,0,60427,0
Mum,0,1,0,0,Yellow,0,60426,0
Mum,0,1,1,0,Yellow,0,60426,0
Mum,0,1,2,0,White,0,60424,0
Mum,0,2,0,0,Yellow,1,60426,1
Mum,0,2,1,0,Yellow,0,60426,0
Mum,0,2,2,0,Yellow,0,60426,0
Mum,1,0,0,0,Pink,0,60428,0
Mum,1,0,1,0,Pink,0,60428,0
Mum,1,0,2,0,Pink,0,60428,0
Mum,1,1,0,0,Yellow,0,60426,0
Mum,1,1,1,0,Red,0,60382,0
Mum,1,1,2,0,Pink,0,60428,2
Mum,1,2,0,0,Purple,0,60427,0
Mum,1,2,1,0,Purple,0,60427,0
Mum,1,2,2,0,Purple,0,60427,0
Mum,2,0,0,0,Red,1,60382,1
Mum,2,0,1,0,Red,0,60382,0
Mum,2,0,2,0,Red,0,60382,0
Mum,2,1,0,0,Purple,0,60427,0
Mum,2,1,1,0,Purple,0,60427,2
Mum,2,1,2,0,Red,0,60382,0
Mum,2,2,0,0,Green,0,60467,0
Mum,2,2,1,0,Green,0,60467,0
Mum,2,2,2,0,Red,0,60382,0